placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,wednesday,thursday,friday,saturday,saturday_open,saturday_close,sunday,sunday_open,sunday_close,monday,tuesday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,pricing,info,isBlackOwned
https://www.google.com/maps/place/Paco%27s+Taqueria+-+Food+Truck/data=!4m7!3m6!1s0x8814ab0ea465f3e1:0xa3b80563c074e00d!8m2!3d39.9054765!4d-86.0490862!16s%2Fg%2F11tc8ltr9j!19sChIJ4fNlpA6rFIgRDeB0wGMFuKM,Paco's Taqueria - Food Truck,3.4,25,Taco restaurant,Â· Dine-in Â· Curbside pickup Â· Delivery,"6816 E 82nd St, Indianapolis, IN 46250, United States","WX42+59 Indianapolis, Indiana, USA",http://www.pacostaquerias.com/,+1 317-459-8116,10 am - 10 pm,10 am - 10 pm,10 am - 10 pm,10 am - 10 pm,10:00,22:00,10 am - 10 pm,10:00,22:00,10 a.m. - 10 p.m.,10 a.m. - 10 p.m.,Closing soon,https://lh3.googleusercontent.com/gps-proxy/AFm_dcTHpKD8wt5iV8qtBsXXVcffnWwtr0PTxF0DQUIXyExhCLVZnfN5Ryvt7v0Bu2PkaqOeXCXU1ByVk90IcDaWTEgNOMPa6n1YRdX4DYM93N3kzLjIiMgTLDAE_J2YB5aaq6-Yitz_H_03DcYiInAeL31w3RIpksAJ210PhOVg4OrxliFYB81ewejg=w426-h240-k-no,TRUE,39.9054375,-86.0490625,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:18:38.767Z,$,Identifies as women-owned,
https://www.google.com/maps/place/J%27s+Lobster+%26+Fish+Market/data=!4m7!3m6!1s0x886b5bde8e51866b:0xd0f85b591b157710!8m2!3d39.7804325!4d-86.1438927!16s%2Fg%2F11hzqgnp52!19sChIJa4ZRjt5ba4gREHcVG1lb-NA,J's Lobster & Fish Market,3.5,193,Seafood restaurant,Â· Dine-in Â· Takeout Â· Delivery,"906 Carrollton Ave #370, Indianapolis, IN 46202, United States","QVJ4+5C Indianapolis, Indiana, USA",http://jslobster.com/,+1 855-562-7655,11 am - 9 pm,11 am - 9 pm,11 am - 10 pm,11 am - 10 pm,11:00,22:00,11 am - 9 pm,11:00,21:00,11 a.m. - 9 p.m.,11 a.m. - 9 p.m.,Closed,https://lh5.googleusercontent.com/p/AF1QipNcLDgiylHS-6a67g8pumLr_aft-aEvgvc95eYg=w408-h306-k-no,TRUE,39.7804375,-86.1439375,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:19:49.370Z,,,
https://www.google.com/maps/place/El+Viejon+Food+Truck/data=!4m7!3m6!1s0x886b576156814059:0x471b88f4feb4ee9!8m2!3d39.8099076!4d-86.2216177!16s%2Fg%2F11twj919ly!19sChIJWUCBVmFXa4gR6U7rT4-4cQQ,El Viejon Food Truck,1,1,Mexican restaurant,Â· Dine-in Â· Drive-through Â· Delivery,"3612 W 30th St, Indianapolis, IN 46222, United States","RQ5H+X9 Indianapolis, Indiana, USA",https://www.elviejonfoodtruckindy.com/,+1 317-854-2999,2:30 pm - 1 am,2:30 pm - 1 am,2:30 pm - 4 am,2:30 pm - 4 am,14:30,4:00,2:30 pm - 12 am,14:30,0:00,Closed,2:30 p.m. - 1 a.m.,Open now,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UfFZRNsDC48F12bR3Hj1KA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.83913&pitch=0&thumbfov=100,TRUE,39.8099375,-86.2215625,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:15:25.834Z,,,
https://www.google.com/maps/place/Food+Truck+Don+Luis/data=!4m7!3m6!1s0x886b57fe69709eff:0xeb2be0dbb23ddede!8m2!3d39.8183177!4d-86.2269832!16s%2Fg%2F11m_hp53qt!19sChIJ_55waf5Xa4gR3t49stvgK-s,Food Truck Don Luis,3,2,Mexican restaurant,Â· Dine-in Â· Takeout Â· Delivery,"3605 Commercial Dr, Indianapolis, IN 46222, United States","RQ9F+86 Indianapolis, Indiana, USA",http://orderfoodtruckdonluis.com/,+1 317-795-5980,Closed,6 pm - 12 am,6 am - 12:30 am,6 pm - 1 am,18:00,1:00,6 pm - 12 am,18:00,0:00,6 p.m. - 12 a.m.,6 a.m. - 12 a.m.,Closed today,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rInPW3RJJ9YXhnTL7Xs8fw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=75.450966&pitch=0&thumbfov=100,TRUE,39.8183125,-86.2269375,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:16:43.711Z,,,
https://www.google.com/maps/place/Antojitos+Guzman+food+truck+%231/data=!4m7!3m6!1s0x886b557aa1d8879f:0x4709f269130b65c7!8m2!3d39.8527225!4d-86.2414365!16s%2Fg%2F11rd909d4z!19sChIJn4fYoXpVa4gRx2ULE2nyCUc,Antojitos Guzman food truck #1,3.5,8,Restaurant,Â· Dine-in Â· Drive-through Â· Delivery,"4853 W 56th St, Indianapolis, IN 46254, United States","VQ35+3C Indianapolis, Indiana, USA",https://antojitosguzmanfoodtruck1.business.site/?utm_source=gmb&utm_medium=referral,,2 - 9:30 pm,2 - 9:30 pm,2 - 9:30 pm,2 - 9:30 pm,14:00,21:30,2 - 9:30 pm,14:00,21:30,Closed,Closed,Closing soon,https://lh5.googleusercontent.com/p/AF1QipNKs5v5bTS_8Wg1YHKjc2-dEWA9OXKnD8wLka0s=w408-h544-k-no,TRUE,39.8526875,-86.2414375,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:15:03.817Z,,Identifies as Latino-owned,
https://www.google.com/maps/place/Huge+Impact+Restaurant/data=!4m7!3m6!1s0x886b561a5fe09c29:0xa651e3f969433f22!8m2!3d39.8256814!4d-86.247654!16s%2Fg%2F11hd7f94yd!19sChIJKZzgXxpWa4gRIj9DafnjUaY,Huge Impact Restaurant,3.9,267,Restaurant,Â· Dine-in Â· Takeout Â· Delivery,"5110 W 38th St, Indianapolis, IN 46254, United States","RQG2+7W Indianapolis, Indiana, USA",https://hugeimpactllc.weebly.com/,+1 317-975-0037,12 - 8 pm,12 - 9 pm,12 - 9 pm,12 - 9 pm,12:00,21:00,2 - 6 pm,14:00,18:00,12 - 9 p.m.,12 - 9 p.m.,Closed,https://lh5.googleusercontent.com/p/AF1Qipmla6F7G--ZBNR3HTPk6Moy8KlJJvAoi2CI2A-a=w493-h240-k-no,TRUE,39.8256875,-86.2476875,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:18:49.016Z,,,
https://www.google.com/maps/place/El+Buenavista+Food+Truck/data=!4m7!3m6!1s0x886b4f13f27ed205:0xb5c5edafbb29b30!8m2!3d39.7608462!4d-86.0812326!16s%2Fg%2F11twqgz7vc!19sChIJBdJ-8hNPa4gRMJuy-9peXAs,El Buenavista Food Truck,5,9,Mexican restaurant,Â· Dine-in Â· Drive-through Â· Delivery,"5210 English Ave, Indianapolis, IN 46219, United States","QW69+8G Indianapolis, Indiana, USA",,+1 317-629-8198,1:59 pm - 4:59 am,1:59 pm - 4:59 am,1:59 pm - 4:59 am,1:59 pm - 4:59 am,13:59,4:59,1:59 pm - 4:59 am,13:59,4:59,1:59 p.m. - 4:59 a.m.,1:59 p.m. - 4:59 a.m.,Open now,https://lh5.googleusercontent.com/p/AF1Qipm4z4p9XCYj6k-e5CTt7iuaFnLCcd7DGQZY8WQ5=w408-h544-k-no,TRUE,39.7608125,-86.0811875,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:16:39.353Z,,,
https://www.google.com/maps/place/Gaucho%27s+Fire+Express/data=!4m7!3m6!1s0x886b5179d2faa2b5:0xb149e69974db631!8m2!3d39.7802574!4d-86.1436438!16s%2Fg%2F11p106h6h0!19sChIJtaL60nlRa4gRMbZNl2meFAs,Gaucho's Fire Express,4.7,43,Fast food restaurant,Â· Dine-in Â· Takeout Â· No-contact delivery,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, United States","QVJ4+4G Indianapolis, Indiana, USA",https://www.express.gauchosfire.com/,+1 317-319-8625,10 am - 9 pm,10 am - 9 pm,10 am - 10 pm,10 am - 10 pm,10:00,22:00,10 am - 9 pm,10:00,21:00,10 a.m. - 9 p.m.,10 a.m. - 9 p.m.,Closed,https://lh5.googleusercontent.com/p/AF1QipNgebpN-oDCMuz7TlLiRp457IH59sv0uhDIUQHz=w408-h544-k-no,TRUE,39.7803125,-86.1436875,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:18:30.559Z,$,,
https://www.google.com/maps/place/ClusterTruck/data=!4m7!3m6!1s0x886b50c1c2f1b527:0x3422fdd599524a08!8m2!3d39.7775861!4d-86.1556021!16s%2Fg%2F11clyf073f!19sChIJJ7XxwsFQa4gRCEpSmdX9IjQ,ClusterTruck,4.8,1147,Delivery Restaurant,Â· Takeout Â· Delivery Â· Dine-in,"729 N Pennsylvania St, Indianapolis, IN 46204, United States","QRHV+2Q Indianapolis, Indiana, USA",https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,+1 317-732-1084,8 am - 10 pm,8 am - 10 pm,8 am - 11 pm,10 am - 11 pm,10:00,23:00,10 am - 9 pm,10:00,21:00,8 a.m. - 10 p.m.,8 a.m. - 10 p.m.,Closing soon,https://lh5.googleusercontent.com/p/AF1QipmjetIKr7iEsi0ZUTppOmMvUwSiz56i71foF6Tk=w408-h407-k-no,TRUE,39.7775625,-86.1555625,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:15:21.359Z,,,
https://www.google.com/maps/place/ClusterTruck+-+Broad+Ripple/data=!4m7!3m6!1s0x886b538da784b4e5:0xa845ca9abd40f8d3!8m2!3d39.8683662!4d-86.1257019!16s%2Fg%2F11k8x0cknz!19sChIJ5bSEp41Ta4gR0_hAvZrKRag,ClusterTruck - Broad Ripple,4.9,350,Delivery Restaurant,Â· Takeout Â· Delivery Â· Dine-in,"2101 E 62nd St, Indianapolis, IN 46220, United States","VV9F+8P Indianapolis, Indiana, USA",http://clustertruck.com/,+1 317-751-9543,10 am - 10 pm,10 am - 10 pm,10 am - 11 pm,10 am - 11 pm,10:00,23:00,10 am - 9 pm,10:00,21:00,10 a.m. - 10 p.m.,10 a.m. - 10 p.m.,Closing soon,https://lh5.googleusercontent.com/p/AF1QipNFOk7SHkFAgQKj2pXcZp-sYkLKYVURrTcqxYzG=w408-h271-k-no,TRUE,39.8683125,-86.1256875,"https://www.google.com/maps/search/food+trucks+in+indianapolis/@40.0933878,-86.3872229,8z/data=!4m2!2m1!6e5?entry=ttu",2023-10-12T01:18:07.396Z,,,
